id,name,latitude,longitude,street,house_number,zip,city,email,phone_number,website,acceptance_age,total_places,places_under_3,pedagogical_focus,thematic_focus,image_url,day,opening_time,closing_time,day,opening_time,closing_time,day,opening_time,closing_time,day,opening_time,closing_time,day,opening_time,closing_time
2401,Kita Lobeckstr. 11/Kigä City,52.50025476595674,13.404844737211254,Lobeckstr.,11,10969,Berlin,Kita.Lobeckstr11@kindergaertencity.de,+49-30-30648793,http://www.kindergaerten-city.de/lobeckstr-11,8,110,47,"[""Offene-Arbeit""]","[""sprachliche Bildung""]",https://kita-navigator.berlin.de/bilder/einrichtung/2401,MONTAG,07:00,17:00,DIENSTAG,07:00,17:00,MITTWOCH,07:00,17:00,DONNERSTAG,07:00,17:00,FREITAG,07:00,17:00
146129,Nestwärme,52.5033430341274,13.404498657902717,Ritterstr.,36,10969,Berlin,ritterstrasse@nestwaerme-berlin.de,+49-30-24729098,http://www.kita-ritterburg.de,2,105,21,"[""Early Excellence-Ansatz""]","[""Interkulturelle Pädagogik""]",https://kita-navigator.berlin.de/fallback_einrichtung.jpg,MONTAG,07:15,17:45,DIENSTAG,07:15,17:45,MITTWOCH,07:15,17:45,DONNERSTAG,07:15,17:45,FREITAG,07:15,17:45
379,Ev. Kita St. Simeon,52.50047347097207,13.406595921176553,Wassertorstr.,21A,10969,Berlin,st.simeon-kita@evkvbmn.de,+49-30-6142300,http://evkvbmn.de,12,90,0,"[""Situationsansatz""]","[""Integration von Kindern mit Behinderung"", ""Religionspädagogik"", ""Körper und Bewegung"", ""Sprache""]",https://kita-navigator.berlin.de/fallback_einrichtung.jpg,MONTAG,07:00,17:00,DIENSTAG,07:00,17:00,MITTWOCH,07:00,17:00,DONNERSTAG,07:00,17:00,FREITAG,07:00,17:00
2432,EKT - Zappergeck,52.49899372727877,13.400280633817914,Alexandrinenstr.,1B,10969,Berlin,zappergeck-ev@web.de,+49-30-6156248,,18,25,3,"[""Situationsansatz""]",[],https://kita-navigator.berlin.de/fallback_einrichtung.jpg,MONTAG,08:00,17:00,DIENSTAG,08:00,17:00,MITTWOCH,08:00,17:00,DONNERSTAG,08:00,17:00,FREITAG,08:00,16:30
2426,Waldorfkindergarten Kreuzberg,52.50345253667118,13.399026961408854,Alte Jakobstr.,10,10969,Berlin,wakigakreuzberg@web.de,+49-30-6143087,,18,98,13,"[""Waldorfpädgogik""]","[""Integration von Kindern mit Behinderung""]",https://kita-navigator.berlin.de/fallback_einrichtung.jpg,MONTAG,07:30,16:30,DIENSTAG,07:30,16:30,MITTWOCH,07:30,16:30,DONNERSTAG,07:30,16:30,FREITAG,07:30,16:30
1012,Kita KOTTI,52.50091327456798,13.397752004281246,Alte Jakobstr.,172,10969,Berlin,kita.altejakob@kottiberlin.de,+49-30-6161985,http://www.kotti-berlin.de,12,25,8,"[""EEC (Early Excellence)""]","[""Sprache""]",https://kita-navigator.berlin.de/fallback_einrichtung.jpg,MONTAG,07:00,17:00,DIENSTAG,07:00,17:00,MITTWOCH,07:00,17:00,DONNERSTAG,07:00,17:00,FREITAG,07:00,17:00
1579,Kita Milchstraße ,52.50237522286624,13.397884481790937,Alte Jakobstr.,135,10969,Berlin,kita.milchstrasse@web.de,+49-30-2515532,http://www.kita-milchstrasse.de,12,62,12,"[""Ansatz von Emmi Pikler"", ""Montessori-Pädagogik""]","[""Ästhetische Bildung (Musik und Kunst)"", ""Natur- und Umweltpädagogik"", ""Körper und Bewegung"", ""Integration von Kindern mit Behinderung""]",https://kita-navigator.berlin.de/fallback_einrichtung.jpg,MONTAG,07:30,16:30,DIENSTAG,07:30,16:30,MITTWOCH,07:30,16:30,DONNERSTAG,07:30,16:30,FREITAG,07:30,16:30
339129,Wildfang Kindergarten auf dem Dach,52.503055618265506,13.409997371380896,Prinzenstr.,85D,10969,Berlin,service@wildfang-kindergarten.de,+49-30-62739764,http://www.wildfang-kindergarten.de,9,73,20,"[""Early Excellence""]",[],https://kita-navigator.berlin.de/fallback_einrichtung.jpg,MONTAG,08:00,17:00,DIENSTAG,08:00,17:00,MITTWOCH,08:00,17:00,DONNERSTAG,08:00,17:00,FREITAG,08:00,17:00
1612,EKT - Wohnhof e.V.,52.50452467418794,13.39540611277954,Markgrafenstr.,8,10969,Berlin,kinderladen-wohnhof@gmx.de,+49-30-2510316,,15,15,6,"[""Situationsansatz""]",[],https://kita-navigator.berlin.de/fallback_einrichtung.jpg,MONTAG,07:30,16:30,DIENSTAG,07:30,16:30,MITTWOCH,07:30,16:30,DONNERSTAG,07:30,16:30,FREITAG,07:30,16:30
1598,EKT - Kindervilla Waldemar,52.496139426094956,13.400108770433548,Johanniterstr.,17,10961,Berlin,johanniterstrasse@kindervilla-waldemar.de,+49-30-617790913,,11,102,32,"[""Situationsansatz"", ""Ansatz von Emmi Pikler""]","[""Integration von Kindern mit Behinderung"", ""Körper und Bewegung"", ""Natur- und Umweltpädagogik"", ""Interkulturelle Pädagogik"", ""Gesundheit""]",https://kita-navigator.berlin.de/fallback_einrichtung.jpg,MONTAG,07:00,17:00,DIENSTAG,07:00,17:00,MITTWOCH,07:00,17:00,DONNERSTAG,07:00,17:00,FREITAG,07:00,17:00
777,Kita Markgrafenstraße,52.50424614245604,13.39449242767585,Markgrafenstr.,80,10969,Berlin,markgrafenstrasse@inakindergarten.de,+49-30-81887961,http://www.inakindergarten.de,2,100,40,"[""Situationsansatz""]","[""Gesundheit"", ""Körper und Bewegung"", ""Interkulturelle Pädagogik""]",https://kita-navigator.berlin.de/bilder/einrichtung/777,MONTAG,07:00,17:00,DIENSTAG,07:00,17:00,MITTWOCH,07:00,17:00,DONNERSTAG,07:00,17:00,FREITAG,07:00,17:00
2875,Kita Stallschreiber Str.13,52.50615428303529,13.40881873934677,Stallschreiberstr.,13,10969,Berlin,stallschreiberstrasse@ortefuerkinder.de,+49-30-695399990,http://www.ortefuerkinder.de/unsere-kitas/stallschreiberstr-/,6,116,39,"[""Offene-Arbeit"", ""EEC-Ansatz""]","[""Körper und Bewegung"", ""Sprachförderung""]",https://kita-navigator.berlin.de/bilder/einrichtung/2875,MONTAG,08:00,17:00,DIENSTAG,08:00,17:00,MITTWOCH,08:00,17:00,DONNERSTAG,08:00,17:00,FREITAG,08:00,17:00
915329,Kleiner Fratz,52.5065201862283,13.408214654997376,Alexandrinenstr.,56,10179,Berlin,mauerfratz@kleinerfratz.berlin,+49-30-28444482,http://www.kleiner-fratz-berlin.de,2,55,12,"[""Offene-Arbeit""]","[""Interkulturelle Pädagogik""]",https://kita-navigator.berlin.de/bilder/einrichtung/915329,MONTAG,06:30,17:30,DIENSTAG,06:30,17:30,MITTWOCH,06:30,17:30,DONNERSTAG,06:30,17:30,FREITAG,06:30,17:30
